,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,2.77133846282959,0.5730119779049317,0.04140043258666992,0.01157652042923302,0.8,0.01,6,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.7}",0.81193036841455,0.8118880859204645,0.8077635006906293,0.8105273183418813,0.0019543904351238617,11
31,3.265450636545817,0.30198661129722915,0.04278564453125,0.002775538895065343,0.8,0.01,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8}",0.8118594102282624,0.8119499019160457,0.8078203903527131,0.8105432341656736,0.001925695719945176,10
32,2.5373035271962485,0.26332067438019746,0.03724050521850586,0.0029279634315311004,0.8,0.01,6,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.9}",0.8118727389574772,0.8118579348982713,0.8077110892782156,0.8104805877113215,0.001958340448487596,12
33,4.630828857421875,0.09777721150584003,0.04752683639526367,0.006935901854772233,0.8,0.01,8,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.7}",0.8095097590772662,0.8094141693905612,0.8056794758063311,0.8082011347580528,0.0017835091343845581,30
34,4.474872350692749,0.38547327613712,0.04685370127360026,0.0012383798123713032,0.8,0.01,8,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.8}",0.8097166010040727,0.8094842657722696,0.8053138109398599,0.8081715592387342,0.0020229580519251214,31
35,5.921517451604207,1.0493677618490587,0.04589247703552246,0.0016108983088719711,0.8,0.01,8,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.9}",0.8090987974668004,0.8087879685000872,0.8052403645553022,0.8077090435073967,0.0017502257926759507,33
36,1.1776402791341145,0.07424620221296795,0.02837228775024414,0.0017335887006324677,0.8,0.05,4,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.8110577521047752,0.81071274888988,0.8080259804164796,0.8099321604703782,0.0013552118168962568,23
37,1.151248852411906,0.07895253718052338,0.02633833885192871,0.0010174327494633492,0.8,0.05,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.8111027325658224,0.810524479348322,0.8077456704590085,0.8097909607910511,0.0014653790414422365,26
38,1.3316284815470378,0.10075489254201798,0.028263171513875324,0.0012626798060393401,0.8,0.05,4,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.8112133547285683,0.8108420405426153,0.8082045906261477,0.810086661965777,0.001339430961705575,19
39,2.772753953933716,0.38379477009052004,0.04072801272074381,0.005985410195039902,0.8,0.05,6,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7}",0.8080531548529354,0.8074756332313843,0.8047704231265924,0.8067664037369706,0.001430929011422132,40
40,6.231610616048177,4.686679231130723,0.04843568801879883,0.014902502201774468,0.8,0.05,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.8}",0.8079120958710875,0.8076833115831218,0.8045330560299904,0.8067094878280665,0.0015418013472045862,41
41,2.5789267222086587,0.15573896450651037,0.040490309397379555,0.0022731814288456946,0.8,0.05,6,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9}",0.807903498791088,0.8075651715271615,0.80442432659998,0.8066309989727433,0.0015664542880693335,42
42,4.827576239903768,0.29699150981377387,0.053671836853027344,0.005631398155153785,0.8,0.05,8,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.7}",0.8051704825350435,0.8049606877413293,0.8020598074635594,0.8040636592466441,0.0014195233801752168,58
43,4.977786699930827,0.08798297719236947,0.05830589930216471,0.008848929821297319,0.8,0.05,8,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8}",0.8052746968883222,0.804159919008996,0.8022114411298117,0.8038820190090433,0.0012659134430632135,59
44,6.359531720479329,0.3417403331136976,0.05820298194885254,0.004648938801276174,0.8,0.05,8,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.9}",0.804940707337331,0.8045293815840849,0.8013288054881702,0.803599631469862,0.0016144731231717546,62
45,1.5849021275838215,0.41970591035520793,0.0299837589263916,0.0008137195251604557,0.8,0.1,4,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.8057729026950506,0.8050514883987442,0.803437033667629,0.8047538082538078,0.0009765692089602632,55
46,1.3747066656748455,0.05631481611057174,0.03320193290710449,0.0029920046606103316,0.8,0.1,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8}",0.8057768575063353,0.8049637112298673,0.8035497226737398,0.8047634304699809,0.0009201871830323785,54
47,1.4633289972941081,0.17898877312950529,0.032413641611735024,0.003990428794616104,0.8,0.1,4,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9}",0.8065466045841923,0.8056414879795608,0.8037952428774293,0.805327778480394,0.0011449331997285316,48
48,2.4922563234965005,0.3865904083580892,0.042542060216267906,0.003195990611589751,0.8,0.1,6,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.7}",0.8020666376167535,0.8005364666196735,0.798956633157698,0.8005199124647083,0.00126970796218949,72
49,2.2646098931630454,0.0982349237921108,0.04083744684855143,0.0026732533340596463,0.8,0.1,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.801291351154787,0.8010897297112917,0.7994680066725611,0.8006163625128799,0.0008161714091271989,71
50,2.272937297821045,0.10332652687285354,0.04585925738016764,0.006329709562801064,0.8,0.1,6,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.9}",0.8022449528188587,0.8012833742209766,0.799903759788118,0.8011440289426511,0.0009608534511016279,67
51,4.269155820210774,0.4205714455039237,0.05178046226501465,0.004689250765801469,0.8,0.1,8,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7}",0.7976130257588908,0.7978135724294533,0.7944680210519581,0.7966315397467674,0.0015320279803494351,80
52,4.006258885065715,0.21485845605532253,0.04998151461283366,0.0006072003485567247,0.8,0.1,8,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.8}",0.7985469747474662,0.797755109857838,0.7965083791395113,0.7976034879149386,0.0008391304719250163,75
53,4.513657569885254,0.42245609188087613,0.05983575185139974,0.007098589589593737,0.8,0.1,8,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.7976318673891041,0.7973953743088299,0.7950136601292292,0.7966803006090544,0.0011824410093808112,79
54,1.5378978252410889,0.3648522817916438,0.02924505869547526,0.003990119035869269,0.9,0.01,4,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.8148148724809723,0.8144814832138366,0.8108018904605431,0.813366082051784,0.0018182585053292605,6
55,1.5151152610778809,0.10838656144743508,0.02882099151611328,0.002670351869241427,0.9,0.01,4,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.8149391875157129,0.8145999885160401,0.8110018534678614,0.8135136764998715,0.0017815171808409232,2
56,1.921678066253662,0.7608772776260337,0.025842825571695965,0.0030387221289067613,0.9,0.01,4,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.9}",0.8150713338271521,0.8144544240948854,0.8110138381379983,0.8135131986866787,0.0017851697899949645,3
