,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
23,0.2545754114786784,0.04634846176017538,0.018245855967203777,0.0019619875594025908,0.7,0.1,6,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.9}",0.8159678125236541,0.8147020577373052,0.8125439847601964,0.8144046183403852,0.0014135066995681514,53
24,0.3493831157684326,0.0465634604099496,0.02054007848103841,0.00034461981381706235,0.7,0.1,8,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7}",0.8127265765344284,0.8113183106089626,0.809742051649236,0.8112623129308757,0.001219070411569553,78
25,0.3036458492279053,0.015852773951825883,0.021531105041503906,0.0015473698733430568,0.7,0.1,8,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.8}",0.8124345373351686,0.8115797905047302,0.8100339048525297,0.811349410897476,0.0009935005961260168,75
26,0.3145464261372884,0.013643877687328408,0.020559390385945637,0.0015825449369736685,0.7,0.1,8,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.8131000060588943,0.812138743051422,0.8100221563444009,0.8117536351515725,0.0012856958653187874,73
27,0.2878909905751546,0.11118534482420583,0.01293651262919108,0.0005242274769068117,0.8,0.01,4,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.816611663304334,0.8161717093077936,0.813323886617578,0.8153690864099019,0.0014572854954009657,25
28,0.25911227862040204,0.0905146515643981,0.01471098264058431,0.001194036747989216,0.8,0.01,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.8166044808638622,0.8162139355252678,0.8132388285664294,0.8153524149851865,0.0015030118823083634,28
29,0.19582478205362955,0.028442302106644793,0.013558387756347656,0.0024053031629024673,0.8,0.01,4,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.9}",0.8165158871323872,0.816146392556872,0.8132409308497268,0.8153010701796619,0.00146452770643945,36
30,0.26897629102071124,0.015259771305911076,0.016383568445841473,0.0007961611472598927,0.8,0.01,6,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.7}",0.816588023817127,0.8161264331186702,0.813239666169066,0.8153180410349544,0.0014816652918463135,33
31,0.2809278964996338,0.05682602845156718,0.01604000727335612,0.00027692570840048906,0.8,0.01,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8}",0.8165637807356755,0.8160112735161916,0.8132125836838143,0.8152625459785604,0.0014669867334792376,37
32,0.24527835845947266,0.008242009119896518,0.017992655436197918,0.0023714223027838906,0.8,0.01,6,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.9}",0.8163809005072633,0.8159245258782659,0.813113414400894,0.8151396135954744,0.001444802600723667,39
33,0.40773876508076984,0.04657509913382684,0.01940019925435384,0.00028872114765863426,0.8,0.01,8,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.7}",0.8160203417748795,0.8155196255898942,0.8128425509237518,0.8147941727628418,0.00139506272895676,42
34,0.39230895042419434,0.045214325054929345,0.02050471305847168,0.0019220113520137321,0.8,0.01,8,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.8}",0.8159048853408621,0.8154075556837317,0.8128588394809545,0.8147237601685161,0.0013342366294719057,46
35,0.3922998905181885,0.03552294620498693,0.02305714289347331,0.00409359019303071,0.8,0.01,8,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.9}",0.8157401493540661,0.8153294558851019,0.8125887495999232,0.8145527849463637,0.0013988670208215578,50
36,0.19154977798461914,0.003844306835004906,0.014275312423706055,0.0013233610459341635,0.8,0.05,4,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.8173464416406706,0.8165348788335645,0.8140118541365531,0.8159643915369293,0.0014198498212535683,1
37,0.19767252604166666,0.011994350927301787,0.013637701670328775,0.0008852014331793991,0.8,0.05,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.8172115752930104,0.8164499728753354,0.8139266901435688,0.8158627461039716,0.001403862308540335,9
38,0.17802087465922037,0.008477657178606443,0.016994794209798176,0.003427800011778459,0.8,0.05,4,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.8171961246045039,0.8165255468472268,0.8139164479959129,0.8158793731492144,0.0014147379027548577,5
39,0.2382946014404297,0.011486253803433473,0.01822940508524577,0.0028483203013263494,0.8,0.05,6,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7}",0.8166822264508786,0.8159346137367378,0.8133607411335905,0.8153258604404022,0.0014226739167473123,30
40,0.26623018582661945,0.011480865718426499,0.01851193110148112,0.002197294136508283,0.8,0.05,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.8}",0.8169113119842351,0.8157937688267058,0.8135024725489088,0.8154025177866165,0.001418885620533943,22
41,0.2393498420715332,0.0177628516161399,0.016247987747192383,0.0010013419293819436,0.8,0.05,6,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9}",0.8167671721337748,0.8158071416944397,0.8135879433317917,0.8153874190533354,0.0013314151031718936,23
42,0.37877265612284344,0.04338322190316154,0.02066357930501302,0.001968008878775662,0.8,0.05,8,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.7}",0.8151405981977811,0.8144841999396688,0.8121830629979835,0.8139359537118112,0.0012681177808811935,67
43,0.3346853256225586,0.01467879060808947,0.02110441525777181,0.002845878096051207,0.8,0.05,8,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8}",0.8154358264050241,0.8142358214597444,0.812284410709896,0.8139853528582215,0.0012986932178505632,64
44,0.32885289192199707,0.020066893998388173,0.02186473210652669,0.0019700312502023863,0.8,0.05,8,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.9}",0.8154201759897202,0.8144302869458789,0.8123816873860682,0.8140773834405558,0.0012653086347298185,61
45,0.18868319193522134,0.007203375872184739,0.01627969741821289,0.0005792700475727197,0.8,0.1,4,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.8167703158997763,0.8158887085737216,0.8138644901469823,0.8155078382068268,0.0012164846905967234,18
46,0.2270653247833252,0.06231300847104953,0.012997627258300781,0.0006897876238200453,0.8,0.1,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8}",0.8171282009413836,0.8160662932833405,0.8137618347155384,0.8156521096467543,0.0014051729324747841,17
47,0.2239652474721273,0.07331149196990512,0.013546387354532877,0.0005551985127164545,0.8,0.1,4,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9}",0.8171921532412748,0.8162557832549433,0.8139245139216985,0.8157908168059723,0.0013739267398498983,12
